iter	Passed	Remaining
0	733	2198572
1	1408	2110599
2	2076	2074076
3	2743	2054757
4	3461	2073287
5	4166	2079235
6	4828	2064651
7	5532	2069060
8	6195	2059062
9	6841	2045685
10	7554	2052806
11	8268	2058805
12	8928	2051397
13	9644	2057008
14	10330	2055830
15	10980	2047885
16	11692	2051613
17	12350	2046067
18	12998	2039440
19	13690	2039934
20	14377	2039594
21	15102	2044307
22	15757	2039625
23	16412	2035110
24	17056	2029667
25	17787	2034620
26	18461	2032843
27	19127	2030275
28	19871	2035836
29	20654	2044759
30	21385	2048214
31	22110	2050753
32	22764	2046750
33	23428	2043829
34	24116	2042999
35	24843	2045453
36	25504	2042425
37	26160	2039164
38	26817	2036044
39	27508	2035594
40	28231	2037491
41	28886	2034440
42	29586	2034621
43	30249	2032212
44	30927	2030908
45	31571	2027415
46	32234	2025296
47	32962	2027194
48	33654	2026797
49	34326	2025273
50	35006	2024182
51	35687	2023222
52	36368	2022209
53	37024	2019898
54	37719	2019696
55	38395	2018501
56	39040	2015737
57	39735	2015537
58	40413	2014526
59	41070	2012465
60	41755	2011789
61	42436	2010947
62	43081	2008436
63	43791	2008942
64	44480	2008462
65	45119	2005787
66	45791	2004577
67	46488	2004483
68	47137	2002334
69	47808	2001120
70	48457	1999047
71	49109	1997128
72	49829	1997966
73	50531	1998026
74	51191	1996471
75	51849	1994844
76	52548	1994805
77	53231	1994121
78	53917	1993575
79	54617	1993522
80	55303	1992974
81	55980	1992072
82	56687	1992247
83	57362	1991287
84	58018	1989679
85	58719	1989639
86	59392	1988635
87	60048	1987056
88	60739	1986666
89	61415	1985775
90	62057	1983806
91	62754	1983576
92	63437	1982948
93	64112	1982045
94	64790	1981220
95	65477	1980701
96	66115	1978678
97	66789	1977785
98	67473	1977184
99	68123	1975576
100	68804	1974906
101	69491	1974371
102	70137	1972702
103	70806	1971677
104	71493	1971178
105	72138	1969514
106	72809	1968586
107	73504	1968284
108	74188	1967700
109	74857	1966716
110	75549	1966332
